No.	Name	Pronunciation	New_Freq
2040	忽	hut	1178
1081	洲	tsiu	1177
906	承	sîng	1177
1086	恩	un	1176
1086	恩	in	1176
1309	迫	pik	1175
1755	老	ló	1172
1095	寄	kià	1169
1173	妹	bē	1164
1173	妹	muē	1164
1073	刻	khik	1154
1533	變	pìnn	1154
1731	攑	gia̍h	1154
434	尿	jiō	1150
448	腸	tn̂g	1150
434	尿	liō	1150
454	戇	gōng	1150
1377	賽	sài	1147
1882	塊	tè	1147
1642	普	phóo	1146
1272	巴	pa	1145
922	島	tóo	1143
4370	楚	tshó	1143
922	島	tó	1143
1015	窗	thang	1142
1164	抗	khòng	1142
3691	但	nā	1142
666	龍	liông	1140
1411	君	kun	1134
3977	𢼌	pa	1133
1646	策	tshik	1132
1982	上	tshiūnn	1126
2194	僫	oh	1121
1268	下	hē	1117
1303	查	tshâ	1116
3393	趣	tshù	1116
991	招	tsio	1116
4248	幾	kí	1115
901	兒	jî	1115
901	兒	lî	1115
1280	州	tsiu	1115
1265	廳	thiann	1112
1042	擔	tam	1111
2612	誠	tsiânn	1110
1465	處	tshú	1107
1840	晡	poo	1106
1054	丈	tiūnn	1105
1153	充	tshiong	1102
909	芳	phang	1101
468	型	hîng	1100
483	餅	piánn	1100
485	鴨	ah	1100
463	防	hông	1100
1674	慘	tshám	1099
1651	雲	hûn	1098
1375	薄	po̍h	1096
2501	般	puann	1095
2334	他	thann	1094
1694	適	sik	1090
1616	笑	siàu	1089
1947	聲	sing	1082
1287	束	sok	1080
3276	較	kàu	1079
764	毛	môo	1076
1615	祝	tsiok	1074
1667	詳	siông	1073
1838	授	siū	1071
1184	相	siùnn	1071
1681	誤	gōo	1069
944	節	tsat	1067
2364	囥	khǹg	1062
2001	危	guî	1062
1585	罔	bóng	1057
832	八	pueh	1056
832	八	peh	1056
2845	向	ǹg	1054
1444	負	hū	1053
1110	雅	ngá	1052
508	粗	tshoo	1050
498	枋	pang	1050
1578	幸	hīng	1042
883	營	îng	1040
2475	娘	niâ	1039
1273	令	līng	1038
3553	聽	thìng	1022
1588	𨑨	tshit	1019
1591	哀	ai	1016
1104	散	suànn	1014
1712	闊	khuah	1014
1307	背	puē	1013
1760	困	khùn	1013
1392	大	ta	1012
951	熱	jua̍h	1011
951	熱	lua̍h	1011
1132	擔	tann	1010
1634	陪	puê	1008
524	吊	tiàu	1000
532	虎	hóo	1000
543	褲	khòo	1000
541	銷	siau	1000
4424	腳	kioh	1000
535	站	tsām	1000
1248	蓮	liân	999
1043	據	kù	997
1043	據	kì	997
1580	抱	phō	997
1620	參	sim	995
1829	唸	liām	994
3192	痛	thòng	990
2006	好	hònn	987
1277	司	si	986
1905	種	tsìng	984
1383	顛	tian	980
1798	持	tî	976
1957	黏	liâm	969
1326	添	thiam	967
2221	慰	uì	962
1500	說	suat	961
1568	抐	lā	960
1472	惱	ló	960
1059	月	gua̍t	957
1196	破	phò	952
560	針	tsiam	950
568	債	tsè	950
583	鹽	iâm	950
579	螺	lê	950
566	絲	si	950
555	抽	thiu	950
550	尻	kha	950
1743	孔	khóng	943
2368	坐	tshē	939
3910	拼	phing	934
2025	享	hiáng	932
2861	即	tsik	930
1012	寒	kuânn	929
3390	賜	sù	929
1870	煮	tsú	928
1968	麗	lē	928
3768	來	tshut	925
3767	來	lai	925
1691	罵	mē	919
1371	醒	tshínn	919
4134	掜	tau	919
1371	醒	tshénn	919
2742	爁	nah	917
1457	從	tsiông	914
1121	管	kóng	914
1251	擔	tànn	909
1804	界	kuè	904
1804	界	kè	904
2615	遍	piàn	903
597	抾	khioh	900
606	甜	tinn	900
593	尪	ang	900
613	裝	tsong	900
616	預	ī	900
598	板	pán	900
616	預	ū	900
617	鼠	tshú	900
617	鼠	tshí	900
607	椅	í	900
2749	軀	su	898
4008	挈	khe̍h	897
1610	書	tsu	894
3377	篇	phinn	891
2537	陳	tân	886
1786	物	mih	884
1971	響	hióng	883
3253	煞	sannh	880
4287	焦	na	879
1064	曲	khik	878
1887	照	tsiò	876
1551	未	bī	876
2918	坱	ing	876
1102	鳥	niáu	874
1750	正	tsiann	872
2173	嫂	só	870
3008	看	khàn	866
1150	公	kang	852
1067	吹	tshue	851
1067	吹	tshe	851
630	舌	tsi̍h	850
651	湯	thng	850
649	陰	im	850
659	鳳	hōng	850
633	私	su	850
664	膨	phòng	850
654	筍	sún	850
641	崁	khàm	850
1382	辭	sî	850
652	痟	siáu	850
631	卵	nn̄g	850
1400	白	pi̍k	849
2045	拉	lá	842
1792	表	pió	834
2358	佗	tó	834
4643	遮	sen	834
1556	伙	hé	834
1556	伙	hué	834
1061	水	suí	830
3775	到	tàu	825
1525	勸	khǹg	821
2117	條	liâu	821
1358	監	kàm	820
4153	欲	io̍k	814
1661	概	kài	812
2387	使	sài	809
3747	甫	hú	808
1906	算	suàn	808
3323	聚	tsū	804
2651	與	ú	802
703	模	bôo	800
709	蟲	thâng	800
689	鹿	lo̍k	800
681	射	siā	800
668	丹	tan	800
687	掃	sàu	800
676	肥	puî	800
690	善	siān	800
701	廠	tshiúnn	800
702	播	pòo	800
669	牙	gê	800
695	碗	uánn	800
4195	莉	nī	791
1158	曲	khiau	790
3693	佗	toh	790
1851	處	tshù	790
2966	肯	khíng	788
3045	悔	hué	782
2434	思	sù	780
2433	思	si	780
3954	耍	sńg	779
2950	欣	him	779
4402	碇	tīng	777
1892	落	lak	767
1902	歌	ko	765
2485	息	sit	765
2298	邊	pian	764
2048	明	bîn	763
2351	而	jî	757
2351	而	lî	757
1362	齊	tsuê	754
1362	齊	tsê	754
1903	爾	nī	751
729	庫	khòo	750
757	優	iu	750
762	霧	bū	750
743	硬	ngē	750
728	冤	uan	750
721	災	tsai	750
725	拆	thiah	750
730	桃	thô	750
738	率	lu̍t	750
755	積	tsik	750
754	談	tâm	750
743	硬	ngī	750
761	鏡	kiànn	750
752	衛	uē	750
747	腰	io	750
756	貓	niau	750
716	冰	ping	750
720	材	tsâi	750
748	遊	iû	750
1181	指	tsáinn	750
733	追	tui	750
714	川	tshng	750
732	衰	sue	750
1215	被	phē	748
1215	被	phuē	748
2301	麗	lê	743
1549	司	su	739
1060	木	ba̍k	737
1810	面	biān	736
2527	眾	tsìng	735
3702	吳	ngôo	730
2074	研	gíng	729
1398	半	puàn	729
1498	精	tsiann	725
4702	蕃	han	721
2108	張	tng	716
2003	同	tâng	712
1426	招	tsiau	710
792	航	hâng	700
828	籃	nâ	700
772	佈	pòo	700
779	刺	tshì	700
831	露	lōo	700
824	豐	hong	700
805	筋	kun	700
811	鼎	tiánn	700
801	途	tôo	700
817	蝦	hê	700
777	技	ki	700
805	筋	kin	700
807	煙	ian	700
775	坑	khenn	700
812	膏	ko	700
785	拋	pha	700
803	插	tshah	700
823	薰	hun	700
775	坑	khinn	700
800	莊	tsng	700
798	殺	sat	700
802	割	kuah	700
2608	號	lō	700
813	銅	tâng	700
1652	黃	hông	697
1431	青	tshing	696
1296	花	hua	691
2646	瑪	má	690
3141	莫	mài	688
2897	並	pīng	685
2896	並	phīng	685
2401	姓	sìng	682
2400	姓	sìnn	682
2400	姓	sènn	682
2191	過	kò	680
1334	寒	hân	676
1762	序	sī	669
1763	序	sū	669
1300	指	tsíng	667
1430	雨	ú	659
3222	間	kàn	653
887	簽	tshiam	650
876	磅	pōng	650
847	姨	î	650
866	裁	tshâi	650
889	瀾	nuā	650
877	蔥	tshang	650
885	糜	bê	650
885	糜	muê	650
853	訂	tīng	650
879	鞋	uê	650
859	敗	pāi	650
879	鞋	ê	650
871	墓	bōo	650
846	夜	iā	650
886	櫃	kuī	650
871	墓	bōng	650
849	急	kip	650
839	尖	tsiam	650
844	赤	tshiah	650
845	協	hia̍p	650
838	寺	sī	650
861	眼	gán	650
864	插	tshap	650
870	鉛	iân	650
868	獅	sai	650
2724	應	ing	648
2172	傳	thn̂g	647
3861	阿	oo	640
1319	密	ba̍t	635
1160	血	hiat	635
2050	果	kué	633
2050	果	ké	633
1781	性	sìnn	632
1781	性	sènn	632
1601	飛	hui	629
1566	忍	lím	629
1566	忍	jím	629
1315	草	tshó	622
1811	值	ti̍t	621
2522	現	hiàn	617
1747	司	sai	616
2185	落	loh	614
1929	鬧	nāu	610
3375	確	khia̍k	607
1754	守	tsiú	606
1741	允	ín	606
1741	允	ún	606
1910	蓋	kuà	604
3521	贊	tsān	603
1874	程	thîng	601
945	銃	tshìng	600
930	異	ī	600
927	閃	siám	600
935	速	sok	600
961	縫	phāng	600
924	症	tsìng	600
937	筒	tâng	600
905	延	iân	600
946	嗽	sàu	600
954	鋪	phoo	600
928	偏	phian	600
958	壇	tuânn	600
941	溜	liu	600
913	架	kè	600
953	輪	lûn	600
952	糊	kôo	600
965	爐	lôo	600
904	坦	thán	600
926	紗	se	600
920	埕	tiânn	600
960	糕	ko	600
959	操	tshau	600
923	挽	bán	600
2113	接	tsih	600
962	甕	àng	600
940	超	tshiau	600
956	𡳞	lān	600
914	皇	hông	600
1876	絕	tse̍h	593
2905	兩	niú	589
1719	額	hia̍h	587
1409	佛	pu̍t	586
2751	離	lî	584
2061	城	sîng	581
4652	駛	sú	579
1833	情	tsiânn	577
1900	摸	boo	570
1900	摸	bong	570
2808	上	siāng	563
1858	雪	suat	562
1983	下	e	558
1702	興	hìng	552
3174	提	the̍h	551
993	炎	iām	550
1031	旗	kî	550
971	必	pit	550
970	付	hù	550
1014	渡	tōo	550
1030	幕	bōo	550
1038	廢	huì	550
1052	觸	tak	550
992	波	pho	550
1047	擴	khok	550
990	委	uí	550
1016	筊	kiáu	550
981	芋	ōo	550
1032	滾	kún	550
975	伸	tshun	550
996	枵	iau	550
976	低	kē	550
1037	酸	sng	550
966	乞	khit	550
1036	製	tsè	550
999	弱	jio̍k	550
1035	粽	tsàng	550
1000	栽	tsai	550
1051	蘆	lôo	550
987	刺	tshiah	550
1039	潭	thâm	550
1027	舅	kū	550
999	弱	lio̍k	550
1020	郵	iû	550
1013	揀	kíng	550
1003	索	soh	550
1045	頷	ām	550
969	勻	ûn	550
2213	說	suè	549
2342	母	bió	549
1984	子	á	548
1678	管	kńg	548
2359	利	lāi	544
3293	夥	hé	539
3293	夥	hué	539
4445	較	kà	539
4446	較	kah	539
1959	斷	tuān	538
2002	合	ha̍h	532
2164	象	tshiūnn	531
2785	響	hiáng	530
1539	九	kiú	527
2332	支	ki	526
1765	忍	lún	524
3337	遠	hn̄g	519
1742	六	lio̍k	516
2034	奇	khia	516
2750	醫	pēnn	513
2412	沓	ta̍p	513
2413	沓	ta̍uh	513
1904	監	kann	512
3044	息	sik	510
2337	外	guē	509
1780	官	kuan	508
1865	散	suánn	507
1579	往	íng	505
3567	躡	nih	503
3567	躡	neh	503
1099	涼	liâng	500
1068	坎	khám	500
1085	座	tsō	500
1055	巾	kun	500
1088	租	tsoo	500
1075	卸	sià	500
1123	趖	sô	500
1122	綠	li̍k	500
1056	井	tsínn	500
1131	稻	tiū	500
1074	卑	pi	500
1071	佳	ka	500
1103	喉	âu	500
1142	霸	pà	500
1090	乾	kuann	500
1089	逃	tô	500
1091	健	kiān	500
1065	次	tshù	500
1141	爛	nuā	500
1128	潲	siâu	500
1087	捙	tshia	500
1098	桮	pue	500
1127	審	sím	500
1126	墨	ba̍k	500
1120	構	kòo	500
1101	貪	tham	500
1130	瘦	sán	500
1144	罐	kuàn	500
1062	刑	hîng	500
1069	巡	sûn	500
1094	執	tsip	500
1105	棉	mî	500
1139	櫥	tû	500
1113	匯	huē	500
1056	井	tsénn	500
1136	臨	lîm	500
1137	薯	tsû	500
1084	套	thò	500
1076	況	hóng	500
1108	貼	thiap	500
1133	橫	huînn	500
1137	薯	tsî	500
1116	搶	tshiúnn	500
1078	封	hong	500
1055	巾	kin	500
1107	翕	hip	500
1109	跋	pua̍h	500
1080	施	si	500
1135	膽	tánn	500
1112	剾	khau	500
1133	橫	huâinn	500
1058	升	sing	500
2300	關	kuinn	498
2300	關	kuainn	498
2842	各	koh	497
4294	痛	thàng	495
2243	鬧	lāu	488
2482	差	tshe	483
2324	土	thôo	479
2235	調	tiàu	470
1752	田	tiân	468
2855	老	nóo	468
2028	初	tshue	463
2028	初	tshe	463
2977	前	tsûn	460
1881	園	uân	460
1790	芳	hong	459
2573	雄	hîng	458
1163	弄	lāng	450
1191	凊	tshìn	450
1194	核	hi̍k	450
1244	儉	khiām	450
1214	舂	tsing	450
1195	浮	phû	450
1147	亡	bông	450
1156	吐	thóo	450
1253	鋼	kǹg	450
1180	威	ui	450
1187	胡	hôo	450
2873	快	khuìnn	450
1240	槌	thuî	450
1209	徙	suá	450
1185	秋	tshiu	450
1157	扣	khàu	450
1183	泉	tsuânn	450
1175	居	ku	450
1199	胿	kui	450
1236	雷	luî	450
1245	徵	ting	450
1235	閘	tsa̍h	450
2133	雪	seh	450
1221	掌	tsióng	450
1226	訴	sòo	450
1217	麥	be̍h	450
1252	褪	thǹg	450
1159	池	tî	450
1216	釣	tiò	450
1200	脈	me̍h	450
1247	範	huān	450
1231	罩	tà	450
1197	秤	tshìn	450
1166	灶	tsàu	450
1249	褒	po	450
1188	降	kàng	450
1172	周	tsiu	450
1259	曝	pha̍k	450
1208	崎	kiā	450
1203	匙	sî	450
1165	攻	kong	450
1260	礙	gāi	450
1213	脯	póo	450
1198	胸	hing	450
1256	糞	pùn	450
1224	琴	khîm	450
1230	爺	iâ	450
1177	押	ah	450
1212	紲	suà	450
1179	契	khuè	450
1178	咬	kā	450
1179	契	khè	450
1228	搭	tah	450
1201	託	thok	450
1211	移	î	450
1242	腿	thuí	450
1193	拳	kûn	450
1175	居	ki	450
1262	轎	kiō	450
1261	蠅	sîn	450
1174	姆	ḿ	450
1146	丸	uân	450
1202	釘	ting	450
1241	罰	hua̍t	450
1192	席	si̍k	450
1176	岫	siū	450
1225	粟	tshik	450
1238	墘	kînn	450
1186	胃	uī	450
2795	顯	hiánn	448
4608	篇	phian	445
4963	𥍉	liap	443
2039	底	tī	442
2819	兄	hing	439
1871	番	han	435
2031	和	huê	431
3208	華	hua	431
2280	斷	tuàn	430
1401	皮	phî	430
2297	辭	sû	425
2935	拉	la	421
2220	層	tsàn	416
1854	被	pī	415
2325	子	jí	411
2325	子	lí	411
2737	薄	po̍k	411
2544	惱	lóo	411
3439	親	tshenn	409
3439	親	tshinn	409
3970	要	iau	407
2591	概	khài	406
2227	標	phiau	404
4946	讀	tāu	402
1345	微	bî	400
1339	棋	kî	400
1387	彎	uan	400
1298	剃	thì	400
1295	泅	siû	400
1366	蝨	sat	400
1379	霜	sng	400
1291	坪	pînn	400
1372	頻	pîn	400
1286	村	tshun	400
1349	置	tì	400
1370	遺	uî	400
1355	滴	tih	400
1318	堵	tóo	400
1305	炭	thuànn	400
1351	嘉	ka	400
1365	膠	ka	400
1281	汗	kuānn	400
1292	帖	thiap	400
1266	𫝛	siāng	400
1314	耙	pê	400
1373	穗	suī	400
1376	薑	kiunn	400
1367	憲	hiàn	400
1333	陸	lio̍k	400
1294	杯	pue	400
1341	虛	hi	400
1282	江	kang	400
1374	縮	sok	400
1271	尺	tshioh	400
1364	箱	siunn	400
1342	診	tsín	400
1313	祕	pì	400
1293	抹	buah	400
1269	弓	king	400
1356	漁	hî	400
1338	斑	pan	400
1381	譀	hàm	400
1369	澳	ò	400
1329	粕	phoh	400
1363	槽	tsô	400
1312	旅	lí	400
1346	搦	la̍k	400
1343	陽	iông	400
1304	柿	khī	400
1317	剪	tsián	400
1279	吉	kiat	400
1359	蜜	bi̍t	400
1340	測	tshik	400
1390	鑽	tsǹg	400
1289	狂	kông	400
1385	蠓	báng	400
1312	旅	lú	400
1380	簿	phōo	400
1378	輾	liàn	400
1388	戀	luân	400
1321	崙	lūn	400
1327	痕	hûn	400
1291	坪	pênn	400
1357	漏	lāu	400
1284	屁	phuì	400
1325	淺	tshián	400
1302	柑	kam	400
1323	控	khòng	400
1347	搬	puann	400
2900	事	tāi	397
2683	賞	sióng	395
2323	千	tshing	390
4645	鄭	tēnn	389
4646	鄭	tīng	389
3503	離	li	389
1559	耳	ní	387
1745	毛	moo	384
2942	明	mê	381
3247	歲	suè	365
3620	他	ta	364
3069	笑	tshiàu	363
3292	夢	bōng	363
2005	地	tè	363
2653	蓋	kài	362
2520	添	thinn	362
3101	張	tiong	358
2451	相	siunn	357
2450	相	sann	357
2169	量	niū	356
2168	量	liông	356
3063	留	lâu	353
2517	推	the	353
2771	勸	khuàn	351
1419	沖	tshiâng	350
1462	窒	that	350
1516	療	liâu	350
1517	癌	gâm	350
1535	蠻	bân	350
1520	織	tsit	350
1458	梢	sau	350
1464	終	tsiong	350
1414	妙	miāu	350
1459	棄	khì	350
1413	妖	iau	350
1497	端	tuan	350
1412	吵	tshá	350
1483	損	sńg	350
1521	醬	tsiùnn	350
1396	冇	phànn	350
1460	犁	lê	350
1518	臊	tsho	350
1522	鎖	só	350
1536	鬱	ut	350
1435	屏	pîn	350
1529	辯	piān	350
1528	覽	lám	350
1429	附	hù	350
1527	纏	tînn	350
1434	屍	si	350
1461	略	lio̍k	350
1432	亭	tîng	350
1391	叉	tshe	350
1484	楠	lâm	350
1418	沉	tîm	350
1502	噴	phùn	350
1505	彈	tuânn	350
1454	埤	pi	350
1513	嶼	sū	350
1468	麻	bâ	350
1455	堆	tui	350
1486	溼	sip	350
1532	鬚	tshiu	350
1420	佯	tìnn	350
1504	寬	khuan	350
1440	洞	tōng	350
1482	飲	ím	350
1503	增	tsing	350
1453	匏	pû	350
1452	副	hù	350
1428	肺	hì	350
1514	擊	kik	350
1416	折	tsiat	350
1441	疫	i̍k	350
1506	撥	puah	350
1485	歁	khám	350
1439	歪	uai	350
1466	貧	pîn	350
1438	柱	thiāu	350
1415	扶	hû	350
1530	欉	tsâng	350
1515	檨	suāinn	350
1405	扞	huānn	350
1495	滷	lóo	350
1442	突	tu̍t	350
1499	綿	mî	350
1491	聘	phìng	350
1488	痰	thâm	350
1451	訊	sìn	350
1469	媒	muê	350
1487	瑞	suī	350
1425	拗	áu	350
1477	硩	teh	350
1511	歕	pûn	350
1523	鬆	sang	350
1473	棚	pînn	350
1423	宜	gî	350
1469	媒	hm̂	350
1479	筅	tshíng	350
1481	菇	koo	350
1519	隱	ún	350
1402	休	hiu	350
1494	違	uî	350
1450	納	la̍p	350
1478	童	tâng	350
1509	曆	li̍k	350
1427	松	siông	350
1433	奏	tsàu	350
1446	挵	lòng	350
1443	茄	ka	350
1492	裙	kûn	350
1471	悶	būn	350
1449	烈	lia̍t	350
1421	依	i	350
1420	佯	tènn	350
1404	奸	kan	350
1473	棚	pênn	350
1445	兼	kiam	350
1474	欺	khi	350
1512	瞞	muâ	350
1424	屈	khut	350
1480	絞	ká	350
1524	藤	tîn	350
1508	輪	lián	350
1475	殕	phú	350
1526	灌	kuàn	350
1447	泰	thài	350
1448	浪	lōng	350
1399	巧	khá	350
1507	輩	puè	350
3056	校	kàu	343
4122	常	tshiâng	343
3278	過	kuà	340
3277	過	koh	340
2811	中	tìng	340
1800	星	sing	339
2516	強	kiōng	338
3261	罪	tsē	336
2957	爸	pâ	336
2680	蓮	lian	333
2479	展	thián	333
2067	指	kí	333
3089	唱	tshiàng	332
4280	款	khuánn	331
3087	參	som	331
2955	注	tù	328
3949	穿	tshng	325
3950	穿	tshuan	325
3226	傳	tuān	323
3041	差	tshai	322
2348	存	tshûn	321
2078	香	hiong	319
3266	落	la̍uh	307
1999	石	si̍k	304
4448	遍	phiàn	301
1714	擾	jiáu	300
1705	餐	tshan	300
1700	篙	ko	300
1561	串	tshuàn	300
1722	繳	kiáu	300
1597	眉	bâi	300
1565	妗	kīm	300
1612	浴	i̍k	300
1545	爪	jiáu	300
1595	柳	liú	300
1550	左	tsó	300
1594	柔	jiû	300
1609	敆	kap	300
1590	削	siah	300
1683	颱	thai	300
1593	染	ní	300
1545	爪	niáu	300
1577	季	kuì	300
1632	豉	sīnn	300
1708	檔	tóng	300
1567	扮	pān	300
1713	壘	luí	300
1717	蟳	tsîm	300
1668	跡	liah	300
1684	劍	kiàm	300
1686	暴	pō	300
1575	咒	tsiù	300
1633	販	huàn	300
1666	裘	hiû	300
1562	含	hâm	300
1619	逆	gi̍k	300
1709	翼	si̍t	300
1552	瓦	hiā	300
1624	悾	khong	300
1647	脹	tiùnn	300
1732	魔	môo	300
1639	婿	sài	300
1631	蛇	tsuâ	300
1727	競	kīng	300
1696	遷	tshian	300
1704	雕	tiau	300
1625	梅	muî	300
1643	棗	tsó	300
1723	蟶	than	300
1668	跡	jiah	300
1581	沿	iân	300
1606	峰	hong	300
3311	爾	niā	300
1547	占	tsiàm	300
1602	准	tsún	300
1576	奉	hōng	300
1660	暖	luán	300
1589	侵	tshim	300
1653	募	bōo	300
1688	漿	tsiunn	300
1603	凍	tàng	300
1558	宅	the̍h	300
1637	喘	tshuán	300
1598	耐	nāi	300
1611	梳	se	300
1627	梯	thui	300
1626	梨	lâi	300
1630	蚵	ô	300
1682	貌	māu	300
1629	絃	hiân	300
1725	孽	gia̍t	300
1703	錶	pió	300
1699	磨	buâ	300
1676	漚	àu	300
1679	箸	tū	300
1659	摃	kòng	300
1582	泔	ám	300
1542	凶	hiong	300
1563	呆	tai	300
1672	僥	hiau	300
1687	歐	au	300
1726	礦	khòng	300
1623	康	khong	300
1662	滅	bia̍t	300
1611	梳	sue	300
1618	缺	khuat	300
1617	紛	hun	300
1571	沃	ak	300
1679	箸	tī	300
1621	域	hi̍k	300
1706	嶺	niá	300
1573	券	kuàn	300
1730	釋	sik	300
1663	滑	ku̍t	300
1564	壯	tsòng	300
1538	丁	ting	300
1628	淨	tsīng	300
1622	埽	sò	300
1690	箠	tshê	300
1607	扇	sìnn	300
1570	杜	tōo	300
1669	鉤	kau	300
1658	損	sún	300
1724	譜	phóo	300
1650	階	kai	300
1599	苳	tang	300
1685	慶	khìng	300
1596	珍	tin	300
1657	慈	tsû	300
1664	盟	bîng	300
1698	𩛩	kauh	300
1670	雺	bông	300
1583	狀	tsōng	300
1734	籠	láng	300
1604	夏	hā	300
1587	阻	tsóo	300
1715	癖	phiah	300
1690	箠	tshuê	300
1541	仇	siû	300
1711	虧	khui	300
1605	宮	king	300
1665	窟	khut	300
1572	疕	phí	300
1574	呸	phuì	300
1569	更	king	300
1720	鬃	tsang	300
1540	寸	tshùn	300
1675	榫	sún	300
1600	革	kik	300
1710	薟	hiam	300
1644	湧	íng	300
1560	衣	i	300
1692	蔗	tsià	300
1656	惹	liá	300
1701	縛	pa̍k	300
1728	籍	tsi̍k	300
1735	鑼	lô	300
1557	吐	thòo	300
1554	申	sin	300
1656	惹	jiá	300
1592	扁	pínn	300
1613	眩	hîn	300
1614	砧	tiam	300
1543	勼	kiu	300
1655	塔	thah	300
1654	塑	sok	300
1689	稿	kó	300
1716	繡	siù	300
1677	箕	ki	300
1636	勝	sìng	300
1680	蓆	tshio̍h	300
1645	童	tông	300
1721	懷	huâi	300
1693	複	ho̍k	300
1640	揜	iap	300
1649	鈕	liú	300
1736	鑿	tsha̍k	300
1648	貼	tah	300
1697	魄	phik	300
3027	倒	tho̍h	298
2723	壓	ah	297
3012	紀	kí	295
3193	發	puh	294
3930	活	hua̍t	293
3013	美	bi	293
2372	床	sn̂g	288
2010	肉	lio̍k	288
2010	肉	jio̍k	288
2354	西	si	285
2810	工	kong	284
3547	權	kuân	283
3584	上	sióng	281
4686	獨	ta̍k	281
2333	片	phiàn	279
3539	蘭	lán	277
2370	孝	hà	275
2852	死	sú	274
3630	卡	kha̍h	274
3172	惱	náu	274
2623	頓	tùn	267
2833	玉	gi̍k	266
4369	會	kuè	265
4568	影	íng	265
3591	才	tshâi	264
2349	曲	khiok	263
3021	計	kì	262
3102	從	tsîng	261
3109	掛	khuà	259
4535	趕	á	259
2694	養	iúnn	255
3622	代	tài	253
3623	代	tē	253
2581	圓	uân	252
1939	蹄	tuê	250
1879	隆	lâng	250
1842	梅	m̂	250
1897	劃	ue̍h	250
1848	盒	a̍p	250
1958	黜	thuh	250
1857	雀	tshiok	250
1737	刁	tiau	250
1955	鍊	liān	250
3605	少	siáu	250
1860	啼	thî	250
1872	痣	kì	250
1956	鍋	ue	250
1859	傘	suànn	250
1884	幹	kàn	250
1897	劃	ui̍h	250
1888	痴	tshi	250
1899	寧	lîng	250
1753	向	hiànn	250
1896	䘼	ńg	250
1861	掌	tsiúnn	250
1746	召	tiàu	250
1878	酥	soo	250
1749	旦	tuànn	250
1942	嬰	inn	250
1886	楔	seh	250
1757	估	kóo	250
1880	㽎	sìm	250
1853	蛀	tsiù	250
1852	蚶	ham	250
1868	朝	tiâu	250
1869	殘	tsân	250
1956	鍋	e	250
1895	鈴	lîng	250
1894	遇	gū	250
1908	膎	kuê	250
1885	楊	iûnn	250
1738	凡	huân	250
1759	克	khik	250
1849	脣	tûn	250
1751	汁	tsiap	250
1867	暑	sú	250
1866	敧	khi	250
1855	赦	sià	250
1864	摒	piànn	250
1863	援	uān	250
1954	還	hîng	250
1744	斤	kin	250
1744	斤	kun	250
1890	署	sú	250
1875	粧	tsng	250
1748	囚	siû	250
1883	塌	thap	250
1856	逝	tsuā	250
1901	斡	uat	250
1862	揚	iông	250
1795	則	tsik	250
1873	登	ting	250
1832	崩	pang	250
1801	洘	khó	250
1788	肢	ki	250
1769	沖	tshiong	250
1770	沙	sa	250
1974	癬	sián	250
1809	述	su̍t	250
1945	礁	ta	250
1771	牡	bóo	250
1808	苴	tsū	250
1915	撚	lián	250
1916	撞	tōng	250
1828	偵	tsing	250
1966	壢	li̍k	250
1972	囊	lông	250
1773	罕	hán	250
1934	膭	kuī	250
1961	藍	nâ	250
1917	暫	tsiām	250
1789	芝	tsi	250
1774	辛	sin	250
1970	蠟	la̍h	250
1943	燭	tsik	250
1918	潘	phun	250
1791	虯	khiû	250
1952	購	kòo	250
1797	拭	tshit	250
1978	攪	kiáu	250
1835	捲	kńg	250
1834	挲	so	250
1939	蹄	tê	250
1912	儀	gî	250
1980	麟	lîn	250
1793	迎	ngiâ	250
1913	墜	tuī	250
1964	𥴊	kám	250
1979	籤	tshiam	250
1914	寬	khuann	250
1768	汫	tsiánn	250
1977	鰻	muâ	250
1976	鰱	liân	250
1766	杓	sia̍h	250
1935	蕉	tsio	250
1940	輯	tsi̍p	250
1965	𪁎	tshio	250
1767	杙	khi̍t	250
1975	鑑	kàm	250
1946	績	tsik	250
1826	訓	hùn	250
1969	攝	liap	250
1960	穡	sit	250
1919	碼	bé	250
1927	躼	lò	250
1818	桔	kiat	250
1817	桐	tông	250
1907	綵	tshái	250
1816	框	khing	250
1932	甌	au	250
1928	醋	tshòo	250
1963	軁	nǹg	250
1785	炕	khòng	250
1815	旁	pông	250
1805	盆	phûn	250
1951	觳	khok	250
1812	哩	lí	250
1814	捀	phâng	250
1931	澹	tâm	250
1967	韻	ūn	250
1941	骿	phiann	250
1930	憑	pîn	250
1782	戽	hòo	250
1950	薪	sin	250
1807	胎	thai	250
1779	坩	khann	250
1819	涉	sia̍p	250
1820	烌	hu	250
1962	蹟	tsik	250
1787	糾	kiù	250
1920	窯	iô	250
1921	箬	ha̍h	250
1922	箭	tsìnn	250
1825	脊	tsiah	250
1923	範	pān	250
1924	篋	kheh	250
1933	篩	thai	250
1784	枉	óng	250
1925	罷	pā	250
1778	固	kòo	250
1824	缺	khih	250
1926	膜	mo̍oh	250
1823	紡	pháng	250
1776	卦	kuà	250
1802	炮	phàu	250
1942	嬰	enn	250
1822	痀	ku	250
1803	炸	tsà	250
1821	畚	pùn	250
1836	捷	tsia̍p	250
1944	牆	tshiûnn	250
1841	桸	hia	250
1847	疏	soo	250
1953	避	pī	250
1909	蒜	suàn	250
1761	夾	ngeh	250
1764	忌	khī	250
1843	欶	suh	250
1846	瓷	huî	250
1948	膽	tám	250
