No.	Name	Pronunciation	New_Freq
322	轉	tńg	5374
88	市	tshī	5352
345	邊	pinn	5350
265	傳	thuân	5340
180	萬	bān	5320
252	進	tsìn	5302
297	照	tsiàu	5261
36	魚	hû	5259
36	魚	hî	5259
83	體	thé	5258
83	體	thué	5258
491	可	khó	5215
245	立	li̍p	5214
293	王	ông	5200
136	交	kau	5192
344	轉	tsuán	5189
888	羅	lô	5188
271	部	pōo	5174
304	同	tông	5164
1152	父	hū	5148
480	號	hō	5140
143	半	puànn	5103
467	前	tsiân	5066
192	結	kiat	5066
150	三	sann	5056
148	保	pó	5027
226	義	gī	5025
41	雞	kue	5020
546	才	tsâi	5020
41	雞	ke	5020
587	冊	tsheh	5017
325	方	hong	5014
166	場	tiûnn	5008
1695	遮	jia	5007
1695	遮	lia	5007
401	福	hok	5005
94	牛	gû	5000
114	收	siu	5000
170	長	tiúnn	4989
3014	耶	iâ	4930
336	規	kui	4915
1093	問	mn̄g	4872
553	免	bián	4861
298	算	sǹg	4853
171	高	ko	4846
1025	煞	suah	4845
187	二	lī	4841
187	二	jī	4841
1467	逐	ta̍k	4796
292	土	thóo	4794
186	選	suán	4775
241	下	hā	4750
240	下	ē	4750
98	山	san	4739
51	油	iû	4709
210	步	pōo	4691
1149	己	kī	4680
331	表	piáu	4675
102	草	tsháu	4667
216	四	sì	4665
242	子	tsí	4660
548	友	iú	4656
507	疼	thiànn	4635
175	三	sam	4626
189	平	pîng	4615
86	肉	bah	4608
99	石	tsio̍h	4571
2596	當	tàng	4562
286	細	suè	4559
286	細	sè	4559
890	覺	kak	4559
1397	仝	kāng	4552
2889	矣	ah	4548
201	業	gia̍p	4524
212	放	pàng	4507
158	包	pau	4485
121	酒	tsiú	4471
1386	續	sio̍k	4468
2140	幾	kuí	4460
108	米	bí	4425
204	長	tn̂g	4422
569	媽	má	4398
1204	問	būn	4385
62	竹	tik	4383
1671	像	tshiūnn	4377
349	百	pah	4376
423	樣	iūnn	4375
388	正	tsìng	4364
1310	哪	ná	4354
314	接	tsiap	4351
138	屎	sái	4331
82	藥	io̍h	4327
357	掠	lia̍h	4324
203	底	tué	4318
203	底	té	4318
287	連	liân	4313
489	十	tsa̍p	4304
1111	項	hāng	4298
1740	今	kim	4280
717	向	hiòng	4258
443	救	kiù	4257
1337	敢	kám	4239
837	用	īng	4235
4693	穌	soo	4221
103	港	káng	4182
549	兄	hiann	4171
590	多	to	4166
96	線	suànn	4156
1555	交	ka	4153
440	能	lîng	4149
646	基	ki	4131
3938	甚	sīm	4128
167	田	tshân	4120
4467	嘛	mah	4115
214	樹	tshiū	4070
219	勢	sè	4059
820	學	o̍h	4044
81	館	kuán	4027
2617	遐	hiah	4016
194	戰	tsiàn	4010
2184	腳	kha	4002
561	設	siat	4002
471	笑	tshiò	3995
774	坐	tsē	3988
281	客	kheh	3978
404	念	liām	3977
346	權	khuân	3973
626	世	sì	3962
556	治	tī	3960
3482	雖	sui	3954
441	馬	má	3953
225	傷	siong	3924
1584	矸	kan	3922
554	求	kiû	3908
243	古	kóo	3902
1097	族	tso̍k	3899
264	期	kî	3897
221	和	hô	3885
389	改	kái	3877
461	行	hâng	3876
933	統	thóng	3866
2880	抑	ia̍h	3856
233	流	liû	3829
178	狗	káu	3818
2072	為	uī	3816
303	份	hūn	3815
197	西	se	3804
500	界	kài	3799
3650	亦	i̍k	3792
159	東	tang	3791
374	約	iok	3742
574	種	tsíng	3740
393	倒	tò	3732
580	離	lī	3699
256	觀	kuan	3698
164	飯	pn̄g	3685
394	害	hāi	3678
165	店	tiàm	3670
552	式	sik	3669
1029	詩	si	3665
134	埔	poo	3662
122	骨	kut	3660
586	止	tsí	3659
1170	足	tsiok	3647
1290	其	kî	3645
1264	讀	tho̍k	3626
1608	挨	e	3611
504	校	hāu	3610
133	里	lí	3604
515	醫	i	3593
261	員	uân	3580
183	角	kak	3575
1008	教	kà	3568
718	年	liân	3567
518	顧	kòo	3561
628	示	sī	3535
449	歌	kua	3521
191	產	sán	3513
719	別	pia̍t	3511
385	士	sū	3492
523	正	tsiànn	3491
565	睏	khùn	3486
313	得	tit	3486
326	冬	tang	3477
381	辦	pān	3468
246	官	kuann	3458
429	太	thài	3450
1007	將	tsiòng	3441
474	深	tshim	3438
833	才	tsiah	3434
141	茶	tê	3426
1986	今	tann	3424
462	形	hîng	3419
1301	按	àn	3419
682	師	sai	3410
220	園	hn̂g	3408
2052	牧	bo̍k	3402
337	造	tsō	3400
324	反	huán	3397
439	特	ti̍k	3397
223	病	pīnn	3392
223	病	pēnn	3392
514	輸	su	3390
348	光	kong	3388
766	句	kù	3378
309	衫	sann	3376
