153	先	6,847	0.12%	51.93%
154	漢	6,781	0.12%	52.05%
155	ni	6,708	0.12%	52.17%
156	影	6,683	0.12%	52.29%
157	動	6,677	0.12%	52.41%
158	小	6,573	0.12%	52.53%
159	發	6,318	0.11%	52.64%
160	應	6,316	0.11%	52.76%
161	緊	6,289	0.11%	52.87%
162	頂	6,273	0.11%	52.98%
163	正	6,228	0.11%	53.09%
164	長	6,212	0.11%	53.21%
165	音	6,194	0.11%	53.32%
166	化	6,166	0.11%	53.43%
167	較	6,145	0.11%	53.54%
168	tō	6,144	0.11%	53.65%
169	分	6,096	0.11%	53.76%
170	活	6,084	0.11%	53.87%
171	要	6,079	0.11%	53.98%
172	厝	6,059	0.11%	54.09%
173	自	6,053	0.11%	54.19%
174	細	6,018	0.11%	54.30%
175	讀	6,000	0.11%	54.41%
176	定	5,965	0.11%	54.52%
177	白	5,926	0.11%	54.62%
178	月	5,860	0.11%	54.73%
179	kah	5,851	0.11%	54.83%
180	言	5,843	0.10%	54.94%
181	lah	5,817	0.10%	55.04%
182	bōe	5,812	0.10%	55.15%
183	現	5,767	0.10%	55.25%
184	名	5,730	0.10%	55.35%
185	新	5,719	0.10%	55.46%
186	山	5,710	0.10%	55.56%
187	已	5,691	0.10%	55.66%
188	直	5,687	0.10%	55.76%
189	己	5,641	0.10%	55.87%
190	加	5,612	0.10%	55.97%
191	二	5,583	0.10%	56.07%
192	常	5,583	0.10%	56.17%
193	力	5,570	0.10%	56.27%
194	情	5,566	0.10%	56.37%
195	驚	5,541	0.10%	56.47%
196	今	5,528	0.10%	56.57%
197	信	5,526	0.10%	56.66%
198	原	5,511	0.10%	56.76%
199	使	5,492	0.10%	56.86%
200	重	5,444	0.10%	56.96%
201	馬	5,417	0.10%	57.06%
202	神	5,403	0.10%	57.15%
203	bat	5,400	0.10%	57.25%
204	三	5,356	0.10%	57.35%
205	幾	5,325	0.10%	57.44%
206	早	5,306	0.10%	57.54%
207	種	5,288	0.10%	57.63%
208	者	5,276	0.09%	57.73%
209	道	5,276	0.09%	57.82%
210	tú	5,225	0.09%	57.92%
211	美	5,224	0.09%	58.01%
212	平	5,194	0.09%	58.10%
213	變	5,171	0.09%	58.20%
214	位	5,169	0.09%	58.29%
215	論	5,168	0.09%	58.38%
216	別	5,155	0.09%	58.47%
217	久	5,150	0.09%	58.57%
218	兩	5,144	0.09%	58.66%
219	iáu	5,104	0.09%	58.75%
220	che	5,086	0.09%	58.84%
221	喜	5,047	0.09%	58.93%
222	將	4,994	0.09%	59.02%
223	記	4,987	0.09%	59.11%
224	底	4,980	0.09%	59.20%
225	拜	4,977	0.09%	59.29%
226	歡	4,962	0.09%	59.38%
227	錢	4,960	0.09%	59.47%
228	轉	4,950	0.09%	59.56%
229	hiah	4,946	0.09%	59.65%
230	按	4,907	0.09%	59.74%
231	耶	4,830	0.09%	59.82%
232	性	4,814	0.09%	59.91%
233	社	4,794	0.09%	59.99%
234	方	4,776	0.09%	60.08%
235	可	4,761	0.09%	60.17%
236	腳	4,753	0.09%	60.25%
237	政	4,721	0.08%	60.34%
238	命	4,699	0.08%	60.42%
239	父	4,698	0.08%	60.51%
240	點	4,686	0.08%	60.59%
241	猶	4,685	0.08%	60.67%
242	車	4,651	0.08%	60.76%
243	比	4,613	0.08%	60.84%
244	號	4,591	0.08%	60.92%
245	請	4,574	0.08%	61.00%
246	倒	4,567	0.08%	61.09%
247	羅	4,538	0.08%	61.17%
248	邊	4,515	0.08%	61.25%
249	安	4,515	0.08%	61.33%
250	十	4,494	0.08%	61.41%
251	門	4,480	0.08%	61.49%
252	利	4,472	0.08%	61.57%
253	走	4,460	0.08%	61.65%
254	ah	4,448	0.08%	61.73%
255	某	4,435	0.08%	61.81%
256	等	4,416	0.08%	61.89%
257	tàng	4,412	0.08%	61.97%
258	全	4,398	0.08%	62.05%
259	照	4,388	0.08%	62.13%
260	chē	4,386	0.08%	62.21%
261	禮	4,368	0.08%	62.28%
262	傳	4,362	0.08%	62.36%
263	敢	4,340	0.08%	62.44%
264	lín	4,317	0.08%	62.52%
265	啥	4,316	0.08%	62.60%
266	通	4,264	0.08%	62.67%
267	尾	4,257	0.08%	62.75%
268	苦	4,251	0.08%	62.83%
269	關	4,248	0.08%	62.90%
270	基	4,247	0.08%	62.98%
271	同	4,227	0.08%	63.05%
272	暗	4,224	0.08%	63.13%
273	查	4,212	0.08%	63.21%
274	度	4,182	0.08%	63.28%
275	穌	4,171	0.07%	63.36%
276	望	4,149	0.07%	63.43%
277	清	4,124	0.07%	63.50%
278	聖	4,124	0.07%	63.58%
279	冊	4,117	0.07%	63.65%
280	chia	4,102	0.07%	63.73%
281	逐	4,093	0.07%	63.80%
282	報	4,083	0.07%	63.87%
283	甚	4,078	0.07%	63.95%
284	hia	4,075	0.07%	64.02%
285	續	4,068	0.07%	64.09%
286	界	4,059	0.07%	64.16%
287	體	4,017	0.07%	64.24%
288	放	3,980	0.07%	64.31%
289	ná	3,954	0.07%	64.38%
290	笑	3,948	0.07%	64.45%
